tender_no,title,organization,status,closing_date
PD (GSC) Qesco-10 (2025-26),Const of Tower Foundation..,"Quetta Electric Supply Company (QESCO),Quetta city, Pakistan",,"Jan 7, 2026"
01/Power Van/Outsource/2025 (DAP),ELECT/POWER VAN/OUTSOURCING/2025 Corrigendum,"Pakistan Railways,Lahore city, Pakistan",,"Jan 7, 2026"
,Appointment of Consultant ..,"State Life Insurance Corporation of Pakistan,Karachi central, Pakistan",,"Jan 7, 2026"
1/ACCTs,Agriculture Stores...,"Breeding Area,Sahiwal, Pakistan",,"Jan 7, 2026"
1304/Adver/HQFC-KP/Sigs,"Signal Equipment,misc Items,etc..","HQ Frontier Corps (KPK),Peshawar, Pakistan",,"Jan 7, 2026"
0025-LP-MAA-55-A,STEEL SQUARE BAR,"Pakistan State Oil,Wah Cantt, Pakistan",,"Jan 7, 2026"
,MBVS Devices MBVS Devices..,"Special Communications Organization,Rawalpindi, Pakistan",,"Jan 7, 2026"
NIM-TPT/IST-LV/2021,Transport Services,"National Institute of Public Administration (NIPA),Lahore, Pakistan",,"Jan 7, 2026"
,Insulated Bucket Mounted Vehiclese,"Lahore Electric Supply Company (LESCO),Pakistan v, Pakistan",,"Jan 7, 2026"
4313,HT TOU CT/PT Operated AMI Smart energy Meter,"Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Jan 7, 2026"
,,"Pakistan Airports  Authority (PAA),Karachi south, Pakistan INVITATION TO BIDS DEVELOPMENT OF GYMNASIUM AND SOUVENIR SHO  INVITATION TO BIDS DEVELOPMENT OF GYMNASIUM AND SOUVENIR SHO  12060",,"Jan 7, 2026"
,,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan Tie In Welding  Material   Tie In Welding  Material   FCS/KPAL/TE/070/2025",,"Jan 7, 2026"
,,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan Tyres  Tyres  FCS/NSR/TE/001/26",,"Jan 7, 2026"
,,"Sui Northern Gas Pipelines Limited,Attock, Pakistan Tyres  Tyres  FCS/RWT/001/26",,"Jan 7, 2026"
,,"Military Engineering Services (Navy),Kech (turbat), Pakistan Repair/ Replacement/ Maintenance  of Hard Standiing  ..  Repair/ Replacement/ Maintenance  of Hard Standiing  .  6000-PPRA/13/E-6",,"Jan 7, 2026"
,,"Military Engineering Services (Army),Karachi central, Pakistan Const of Bdry Wall,etc..  Const of Bdry Wall,etc..  6010-ab/824/E-6",,"Jan 7, 2026"
,,"Public Sector Organization,Karachi central, Pakistan Medical  & Scientific  ( Consumable) ..  Medical  & Scientific  ( Consumable) ..  09/205-26",,"Jan 7, 2026"
,,"Parachute Training School (SSG),Peshawar, Pakistan Different Items   Different Items",,"Jan 7, 2026"
,,"Garrison Headquarters,Gujranwala, Pakistan Furniture ..  Furniture ..  2010",,"Jan 7, 2026"
,,"Ministry of Energy (Power Division),Lahore, Pakistan Office Stationery   Office Stationery",,"Jan 7, 2026"
,,"National Highway and Motorway Police (NHMP),Daska, Pakistan Cutting & Stitching of Uniforms  Cutting & Stitching of Uniforms  DSP/LHQ /LSM&LEBP)/25-26/01",,"Jan 7, 2026"
,,"Pakistan Railways,Lahore city, Pakistan ELECT/POWER VAN/OUTSOURCING/2025  Corrigendum  01/Power Van/Outsource/2025 (DAP)",,"Jan 7, 2026"
,,"State Life Insurance Corporation of Pakistan,Karachi central, Pakistan Appointment of Consultant ..  Appointment of Consultant ..",,"Jan 7, 2026"
,,"Breeding Area,Sahiwal, Pakistan Agriculture Stores...  Agriculture Stores...  1/ACCTs",,"Jan 7, 2026"
,,"HQ Frontier Corps (KPK),Peshawar, Pakistan Signal Equipment,misc Items,etc..  Signal Equipment,misc Items,etc..  1304/Adver/HQFC-KP/Sigs",,"Jan 7, 2026"
,,"Pakistan State Oil,Wah Cantt, Pakistan STEEL SQUARE BAR  STEEL SQUARE BAR  0025-LP-MAA-55-A",,"Jan 7, 2026"
,,"Special Communications Organization,Rawalpindi, Pakistan MBVS Devices  MBVS Devices..",,"Jan 7, 2026"
,,"National Institute of Public Administration (NIPA),Lahore, Pakistan Transport Services  Transport Services  NIM-TPT/IST-LV/2021",,"Jan 7, 2026"
,,"Lahore Electric Supply Company (LESCO),Pakistan v, Pakistan Insulated Bucket Mounted Vehiclese  Insulated Bucket Mounted Vehiclese",,"Jan 7, 2026"
,,"Lahore Electric Supply Company (LESCO),Lahore, Pakistan HT TOU CT/PT Operated  AMI  Smart energy Meter   HT TOU CT/PT Operated  AMI  Smart energy Meter  4313",,"Jan 7, 2026"
AIC/2026/01,Rental / Lease of GArden Area of Awian-e-Iqbal,"Aiwan-e-Iqbal Complex,Lahore, Pakistan",,"Jan 7, 2026"
PRD(L)/WAPDA/166(2025-26),WAPDA RE CIVIL MANGLA DAM ORGANIZATION MANGLA WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 9, 2026"
"INVITATION FOR BID/ Chief Engineer (AM) North NTDC,Lhr.","Tender No :T-359-2026 Dismantling of Towers, Conductor and Hardware of 220kV TL","National Transmission and Despatch Company,Lahore, Pakistan",,"Jan 7, 2026"
08/ASF(IIAP)/2025-26/Store,Tender for Supply & Stitching of Uniform items ASF Islamabad,"Airports Security Force,Karachi central, Pakistan",,"Jan 7, 2026"
128-W/3/Diversion/Tender /WA/2025-26,SUPPLY STACKING AND LOADING INTO RAILWAY WAGONS Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 7, 2026"
A (01)/PSEB/2026-02,Selection of Training Firms for Delivery of Accelerated Prof Request for Proposals,"Pakistan Software Export Board,Islamabad, Pakistan",,"Jan 7, 2026"
RWP/TE/001/2026,Supply of Printing Items,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Jan 7, 2026"
3- Med /H/Contract/ MUL/21,"Tractor Trolly ,etc..","Pakistan Railways,Multan, Pakistan",,"Jan 6, 2026"
,Misc Stationery,"Federal Govt Educational Institutions (C/G) Directorate,Rawalpindi, Pakistan",,"Jan 6, 2026"
6006-ADVT-CMES/38/E-6,Shifting and repositioning of ocean...,"Military Engineering Services (Navy),Karachi east, Pakistan",,"Jan 6, 2026"
08/2025,Proc of Equipment..,"National College of Arts,Lahore, Pakistan",,"Jan 6, 2026"
128-W/Tender Notice/PT_I/W.A,RENOVATION OF RAILWAY STATION AT RAHIM YAR KHAN Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 7, 2026"
DIR-PSH/G-11/A/ACE-9/,Auction,"National Telecommunication Corporation (NTC),Peshawar, Pakistan",,"Jan 6, 2026"
,Renovation of Basement..,"Federal Employees Benevolent and Group Insurance Fund,Islamabad, Pakistan",,"Jan 6, 2026"
,Hiring the services of CA Firms,"Utility Stores Corporation of Pakistan,Islamabad, Pakistan",,"Jan 6, 2026"
F-26044582340,Conservancy & Janitorial Services,"Pakistan Railways,Rawalpindi, Pakistan",,"Jan 6, 2026"
398-SIG/SUP/SIG/Tender/2025-2026,SIGNALLING SYSTEM Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 7, 2026"
,"Envoirnment Wing, CDA 07 - 02-01-2026","Capital Development Authority,Islamabad, Pakistan",,"Jan 6, 2026"
Nespak774,"CONSULTANCY SERVICES FOR DESIGNING &CONSTRUCTION SUPERVISION OF COMMUNITY CENTRE NEAR SAHIANWALA INTERCHANGE,FAISALABAD","National Engineering Services Pakistan (NESPAK),Lahore city, Pakistan",,"Jan 6, 2026"
SSGC/SC/PT/EPADS/14157,"Supply & Installation of Network Points, Cat 6 Utp Ethernet","Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 9, 2026"
FCS-MDK-TE-004-26,Hardware Material S/Stock,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
FCS-MDK-TE-003-26,Misc Grocery & Stationery Material,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
FCS-MDK-TE-002-26,Tyres,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
FCS-MDK-TE-001-26,Civil Material,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
SSGC/SC/PT/EPADS/14155,Engaging Training Service Provider for SSGC Executives of Mu,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 13, 2026"
FCS-TRP-TE-012-26,Paint,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
,,"Capital Development Authority,Islamabad, Pakistan Envoirnment Wing, CDA    07 - 02-01-2026",,"Jan 6, 2026"
,,"National Engineering Services Pakistan (NESPAK),Lahore city, Pakistan CONSULTANCY SERVICES FOR DESIGNING &CONSTRUCTION SUPERVISION  OF COMMUNITY CENTRE NEAR SAHIANWALA INTERCHANGE,FAISALABAD  Nespak774",,"Jan 6, 2026"
,,"Sui Southern Gas Company Limited,Karachi central, Pakistan Supply & Installation of Network Points, Cat 6 Utp Ethernet   Supply & Installation of Network Points, Cat 6 Utp Ethernet   SSGC/SC/PT/EPADS/14157",,"Jan 9, 2026"
FCS-TRP-TE-011-26,M.S BAR,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
SSGC/SC/PT/EPADS/14153,Ditching & Backfilling and Allied Activities/Excavation of T,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 6, 2026"
,,"Pakistan Agriculture Research Council,Islamabad, Pakistan Procurement of Research equipment and Machinery at NARC    PARC Tender No. F. 1-90/2025-26/PARC",,"Jan 6, 2026"
,,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan Welding Material  Procurement of Welding Material  FST/TE/006/26",,"Jan 6, 2026"
,,"Oil and Gas Development Company Limited,Islamabad, Pakistan Extension in Bid - Closing & Opening Date  369/11  OGDCL-SCM-SERVICES-CB-PROD-306827793-2025",,"Jan 6, 2026"
,,"Pakistan Post Office,Multan, Pakistan Medicines...  Medicines...",,"Jan 6, 2026"
,,"Multan Electric Power Company (MEPCO),Multan City, Pakistan TRANSFORMER RECLAMATION WORKSHOP MATERIAL    195/26 to 201/26",,"Jan 6, 2026"
,,"Hazara Electric Supply Company HAZECO,Abbottabad, Pakistan H.T ( Structure) 34...  H.T ( Structure) 34...  38 To 69",,"Jan 6, 2026"
,,"COMSATS University,Islamabad, Pakistan Sale of Furniture, Electric/Office Equipment, Computer & Acc  Sale of Furniture, Electric/Office Equipment, Computer & Acc  721 AUCTION NOTICE  No. 29/22-012026",,"Jan 6, 2026"
,,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan Misc CCTV Cameras  Misc CCTV Cameras  RWP/T.E/013/2025",,"Jan 6, 2026"
,Repair/ Maint Works,"Military Engineering Services (Airforce),Karachi central, Pakistan",,"Jan 6, 2026"
IGNITE/Digi/2025-26/0022/Proc,Third Party Assessment of Digiskil Digiskills.pk Program REQUEST FOR PROPOSAL (RFP),"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Jan 6, 2026"
A (01)/PSEB/2025-49 C,Selection of Training Company for Capacity Building of IT Corrigendum,"Pakistan Software Export Board,Islamabad, Pakistan",,"Jan 6, 2026"
6672,Consultancy Services for “Environmental and Social Impact As,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 6, 2026"
,Services for Agriculture Land.. Services for Agriculture Land.,"Pakistan Airforce,Jacobabad, Pakistan",,"Jan 6, 2026"
2601-01,PRODUCTION OF DOCUMENTARY MOVIE AS PER INSTRUCTIONS,"Pakistan Navy,Karachi central, Pakistan",,"Jan 6, 2026"
Ref.No. PMDC/Pro/Rehab.Gh/Kalabagh,"Rehabilitation of PMDC Guest House, PMDC Salt Mines Kalabagh","Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 6, 2026"
PQ/IT/2025,Pre-Qualification for Procurement of IT Equipment / Services,"Pakistan Engineering Council,Islamabad, Pakistan",,"Jan 6, 2026"
6000/PPRA/13/E-6,Renovation of Swimming Pole... Renovation of Swimming Pole,"Military Engineering Services (Navy),Lahore, Pakistan",,"Jan 5, 2026"
FCS/KK/TE/002/26,Cement..,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 5, 2026"
Ref.No.PMDC/Proc-Generator/Sor Range,Repair/ Maintenance 1000 kVA & 500 KVA Gen. Sor Range,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 6, 2026"
SNT-2293/25,Hi Flower Sampler,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 5, 2026"
RHO/ISB/Admn-56/2025,Procurement of Land,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Jan 5, 2026"
,"Medicines, Lab Equipment,etc..","HQ Frontier Corps (KPK),Peshawar, Pakistan",,"Jan 5, 2026"
,Elevate of Boundary Wall..,"National Bank of Pakistan,Karachi central, Pakistan",,"Jan 5, 2026"
600_ADV/43/E6,Rehab of Drainage ..,"Military Engineering Services (Army),Taxila, Pakistan",,"Jan 5, 2026"
BN-19370- MS,Ramadan Souvenir - Dates Box,"Pakistan State Oil,Karachi east, Pakistan",,"Jan 5, 2026"
PROVIDING SER FOR DRILING OF BORE HOLE NEAR CUST REST ROOM,PROVIDING SER FOR DRILING OF BORE HOLE NEAR CUST REST ROOM,"Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Jan 6, 2026"
,Running of Main Cafteria..,"Air University,Islamabad, Pakistan",,"Jan 6, 2026"
3005/C/LF,Utilization of Land..,"HQ Military Farm,Lahore, Pakistan",,"Jan 6, 2026"
TD -366,Upgradation of Odoo from Version 14 to 18 with Functional,"National University of Technology (NUTECH),Islamabad, Pakistan",,"Jan 6, 2026"
6016/73/E-6,Misc Repair/ Renov/ Maint..,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Jan 6, 2026"
,"Elelctro Medical Equipment,etc.. Elelctro Medical Equipment,etc.","Pakistan Coast Guards,Karachi central, Pakistan",,"Jan 6, 2026"
PRD(L)/WAPDA/167(2025-26),WAPDA RE GOLEN GOL HYDEL POWER STATION CHITRAL,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 6, 2026"
,Uniform & Protective Cloth,"Collectorate of Customs, Custom House,Islamabad, Pakistan",,"Jan 6, 2026"
,Uniform and Protective Cloth,"Collectorate of Customs, Custom House,Islamabad, Pakistan",,"Jan 6, 2026"
,"Envoirnment Wing, CDA 648 - 31.12.2025","Capital Development Authority,Islamabad, Pakistan",,"Jan 6, 2026"
,Misc Items Acid Bottle..,"Collectorate of Customs, Custom House,Islamabad, Pakistan",,"Jan 6, 2026"
,"Misc Items Acid Bottle , Air Freshner,etc..","Collectorate of Customs, Custom House,Islamabad, Pakistan",,"Jan 6, 2026"
,"Repair of Vehicles,etc..","Collectorate of Customs, Custom House,Islamabad, Pakistan",,"Jan 6, 2026"
SSGC/SC/NR/EPADS/14128,Construction of 1199 Complaint Center Room at RO Larkana,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 5, 2026"
TN-17(2025-26),PROCUREMENT OF WHEEL CHAIRS,"National Disaster Management Authority(NDMA),Islamabad, Pakistan",,"Jan 5, 2026"
Construction of 3x Sheds,Construction of 3x Sheds Construction of 3x Sheds for Warehouse Facilities,"National Disaster Management Authority(NDMA),Islamabad, Pakistan",,"Jan 5, 2026"
LP/T-4004/26,Supply of Digital Thermal Offset Plates,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 5, 2026"
N/A,Manufacturing of Special Tools for Engine Rebuild,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 5, 2026"
,"IT Equipmemt., etc.. IT Equipmemt., Etc..","COMSATS,Wah Cantt, Pakistan",,"Jan 5, 2026"
CUIW/PS/TENM/25-26/25,Services of Contractor..,"COMSATS,Wah Cantt, Pakistan",,"Jan 5, 2026"
,"Stationery Items, Uniform,Machinery,etc..","Federal Board of Revenue (FBR),Lahore, Pakistan",,"Jan 5, 2026"
,Hiring of Tax Consultant,"Independent System and Market Operator (ISMO),Islamabad, Pakistan",,"Jan 5, 2026"
IT-01-2614,Raw Material,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 5, 2026"
EM-NA-2024-25-N-35-31,SM-NA-2024-25-E-35-29,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 5, 2026"
19/2025-2026,"Design Services , Overhauling of Transformers,etc..","National Institute of Health (NIH),Islamabad, Pakistan",,"Jan 5, 2026"
FCS/SOA /TE/001/26,Lowering And Sleeving Material Lowering And Sleeving Materia,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Jan 5, 2026"
FST/TE/004/26,Electrical Equipments Procurement of Electrical Equipments,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 5, 2026"
FST/TE/003/26,Misc. Hardware Material Procurement of Misc. Hardware Material,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 5, 2026"
FCS/KK/TE/002/26,Cement Fresh,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 5, 2026"
FCS/SOA/TE/002/26,Stringing Material,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Jan 5, 2026"
FCS/SOA/TE/003/26,Pipe Lifting Belt,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Jan 5, 2026"
FCS/KK/TE/001/26,Bricks,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 5, 2026"
"INVITATION FOR BIDS/ Chief Engineer (A.M) North, NGC Multan",TENDER No. CE-AM-NGC-MN-01-2025-26 Purchase of Goods for (Asset Management) North Multan,"National Transmission and Despatch Company,Lahore, Pakistan",,"Jan 5, 2026"
2012,Furniture Items,"Garrison Headquarters,Lahore, Pakistan",,"Jan 5, 2026"
GMCM/EMISSIONS/CORSIA/EU /12/2025,Hiring of Verification Body.. Hiring of Verification Body.,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 5, 2026"
4309,IT Equipment Laptops..,"Lahore Electric Supply Company (LESCO),Lahor, Pakistan",,"Jan 5, 2026"
P-32/2025,Procurement of Notebooks,"Pakistan Revenue Automation (Pvt) LTD.,Islamabad, Pakistan",,"Jan 5, 2026"
Case No. 0801/01/IT Eqpt/S3H/157430 dated 05 Jan 2026,Procurement of Photocopier Machines for S3H-NUST,"NUST School of Social Sciences and Humanities (S3H),Islamabad, Pakistan",,"NUST School of Social Sciences and Humanities (S3H),Islamabad, Pakistan"
LP/T-4001/26,Hiring of Consultancy Services,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 5, 2026"
,Stationery Items,"National Highway and Motorway Police (NHMP),Jhelum, Pakistan",,"Jan 5, 2026"
(DNT/Cutting Disc/Lead ingots & Sheets/Rupture Disc),Procurement of Chemicals & Mechanical Spare/Tools,"Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Jan 5, 2026"
,HIRING OF TAX CONSULTANCY SERVICES,"Pakistan Industrial Development Corporation,Karachi central, Pakistan",,"Jan 5, 2026"
,HIRING OF LAWYER SERVICES,"Pakistan Industrial Development Corporation,Karachi central, Pakistan",,"Jan 5, 2026"
,Auction,"Ordnance Unit,Gujranwala city, Pakistan",,"Jan 5, 2026"
05/26,OH Consultancy Services,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 5, 2026"
HR/3.1(A)/2026,Hiring of Testing Agency,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 5, 2026"
EP-26 To Ep-30,"Safe Loading, Unloading, Carriage Transportation..","Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Jan 5, 2026"
,Const of Feeding Alleys..,"HQ Military Farm,Okara, Pakistan",,"Jan 5, 2026"
,Different Medicines & Medical Devices General Store & Clothing..,"Ministry of Religious Affairs & Interfaith Harmony,Islamabad, Pakistan",,"Jan 5, 2026"
0444/07/IT/LP,General Store & Clothing..,"Ordnance Depot,Quetta city, Pakistan",,"Jan 5, 2026"
P-30/2025,Procurement of Goods and Related Services,"Pakistan Revenue Automation (Pvt) LTD.,Islamabad, Pakistan",,"Jan 5, 2026"
,Notice of Tender 1800-31-Advt-GM-Civil-Wah Works,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 5, 2026"
0027/LP/HOSP/55,HEPA Filters,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 5, 2026"
134-138/2025,"Misc Chemicals,etc..","Public Sector Organization,Islamabad, Pakistan",,"Jan 5, 2026"
No. PMA/AO-Tender/Jan/2026/:,"Provision of Outsourcing of Services of Drivers, Cooks, Stew Outsourcing services","Pakistan Military Academy (PMA),Karachi east, Pakistan",,"Jan 5, 2026"
,ASPEN 2 T Fuel FRT..,"HQ Logistic Area,Gujranwala, Pakistan",,"Jan 5, 2026"
D-45,Ceiling & Lighting Works,"Islamabad Club,Islamabad, Pakistan",,"Jan 5, 2026"
,"MS Shelf, Pipe,etc..","National Logistics Corporation (NLC),Karimabad / Gojal, Pakistan",,"Jan 5, 2026"
25/ICT/NW/NLC/2025,ICT Networking Equipment,"National Logistics Corporation (NLC),Rawalpindi, Pakistan",,"Jan 5, 2026"
,Notice of Tender 1800-31-Advt.GMC,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 5, 2026"
ABT/TE/001/2026,Walk Through Gate Supply Of Walk Through Gate,"Sui Northern Gas Pipelines Limited,Abbottabad, Pakistan",,"Jan 5, 2026"
507/16/PSS,Printing of Degree Folders Degree Folders for Examination Section,"Quaid-i-Azam University,Islamabad, Pakistan",,"Jan 5, 2026"
,Medical Stores..,"Pakistan Airforce,Peshawar, Pakistan",,"Jan 5, 2026"
,"Procurement of Equipment,etc..","Pakistan Airforce,Rawalpindi, Pakistan",,"Jan 5, 2026"
12057,INVITATION FOR BIDS PROCUREMENT OF PHOTOMETRIC TESTING EQUIP,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 5, 2026"
A (01)/PSEB/2026-01,Establishment of National Co-Working Space Program (NCSP) Ce Expression of Interest,"Pakistan Software Export Board,Islamabad, Pakistan",,"Jan 5, 2026"
"0028, 0205, 0222, 0225, 0227, 0251, 0256, 0267","0028, 0205, 0222, 0225, 0227, 0251, 0256, 0267 PAKISTAN ORDINANCE FACTORY SANJWAL CANTT ATTOCK","Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 5, 2026"
12056,GOLDEN OPPORTUNITY FOR OIL MARKETING COMPANIES AUCTION OF LE,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 5, 2026"
,,"Pakistan Industrial Development Corporation,Karachi central, Pakistan HIRING OF LAWYER SERVICES  HIRING OF LAWYER SERVICES",,"Jan 5, 2026"
,,"Ordnance Unit,Gujranwala city, Pakistan Auction   Auction",,"Jan 5, 2026"
,,"HQ Military Farm,Okara, Pakistan Const of  Feeding  Alleys..  Const of  Feeding  Alleys..",,"Jan 5, 2026"
,,"Ministry of Religious Affairs & Interfaith Harmony,Islamabad, Pakistan Different Medicines & Medical Devices  General Store & Clothing..",,"Jan 5, 2026"
,,"Ordnance Depot,Quetta city, Pakistan General Store & Clothing..  General Store & Clothing..  0444/07/IT/LP",,"Jan 5, 2026"
,,"Pakistan Revenue Automation (Pvt)  LTD.,Islamabad, Pakistan  Procurement of Goods and Related Services   Procurement of Goods and Related Services   P-30/2025",,"Jan 5, 2026"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan Notice of Tender    1800-31-Advt-GM-Civil-Wah Works",,"Jan 5, 2026"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan HEPA  Filters  HEPA  Filters  0027/LP/HOSP/55",,"Jan 5, 2026"
,,"Public Sector Organization,Islamabad, Pakistan Misc Chemicals,etc..  Misc Chemicals,etc..  134-138/2025",,"Jan 5, 2026"
,,"Military Engineering Services (Airforce),Sargodha, Pakistan Certain Facilities   Certain Facilities   6015-ADV/27/E-6",,"Jan 5, 2026"
,,"Pakistan Military Academy (PMA),Karachi east, Pakistan Provision of Outsourcing of Services of Drivers, Cooks, Stew  Outsourcing services  No. PMA/AO-Tender/Jan/2026/:",,"Jan 5, 2026"
,,"HQ Logistic Area,Gujranwala, Pakistan ASPEN 2 T Fuel  FRT..  ASPEN 2 T Fuel  FRT..",,"Jan 5, 2026"
,,"Islamabad Club,Islamabad, Pakistan Ceiling & Lighting Works   Ceiling & Lighting Works   D-45",,"Jan 5, 2026"
,,"National Logistics Corporation (NLC),Karimabad / Gojal, Pakistan MS Shelf, Pipe,etc..  MS Shelf, Pipe,etc..",,"Jan 5, 2026"
,,"National Logistics Corporation (NLC),Rawalpindi, Pakistan ICT Networking Equipment   ICT Networking Equipment   25/ICT/NW/NLC/2025",,"Jan 5, 2026"
,,"Sui Northern Gas Pipelines Limited,Abbottabad, Pakistan Walk Through Gate  Supply Of  Walk Through Gate  ABT/TE/001/2026",,"Jan 5, 2026"
,,"Quaid-i-Azam University,Islamabad, Pakistan Printing of Degree Folders  Degree Folders for Examination Section  507/16/PSS",,"Jan 5, 2026"
,,"Pakistan Airforce,Peshawar, Pakistan Medical Stores..  Medical Stores..",,"Jan 5, 2026"
,,"Pakistan Airforce,Rawalpindi, Pakistan Procurement of Equipment,etc..  Procurement of Equipment,etc..",,"Jan 5, 2026"
,,"Pakistan Software Export Board,Islamabad, Pakistan Establishment of National Co-Working Space Program (NCSP) Ce  Expression of Interest  A (01)/PSEB/2026-01",,"Jan 5, 2026"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan 0028, 0205, 0222, 0225, 0227, 0251, 0256, 0267  PAKISTAN ORDINANCE FACTORY SANJWAL CANTT ATTOCK  0028, 0205, 0222, 0225, 0227, 0251, 0256, 0267",,"Jan 5, 2026"
6010-Adv/10/E-6,"Military Engineer Services (Air Force), GE (Air) Lahore Military Engineer Services Notice of Tender","Military Engineering Services (Army),Lahore, Pakistan",,"Jan 2, 2026"
LED/127/25,"MANAGED SECURITY OPERATION CENTER (SOC) , Services 1 year","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
LED/126/25,Networking at Transmission Locations,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
LED/117/25,High End Server,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
LET/171/25,"Electric Vehicle (Sedan) , Battery Pack 66-84 KW, Milleage p","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117014,SSGC/LP/EPADS/NR/2117014 (Electrical Items),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117015,SSGC/LP/EPADS/NR/2117015 (Paint & Allied Material),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
F.7(124)CDNS-OPS/2025,Provisioning of Managed Services and 27/7 NOC Operations,"Central Directorate of National Savings,Islamabad Capital Territory (ICT), Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117018,SSGC/LP/EPADS/NR/2117018 (Spares for Air Compressor),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
WAH/TE/002/2026,M.S Angle Iron Supply Of M.S Angle Iron,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117017,SSGC/LP/EPADS/NR/2117017 (ELECTRIC VEHICLE),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
Supply Of Misc Hardware Material (Store/Stock),Misc Hardware Material (Store/Stock),"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Jan 2, 2026"
