tender_no,title,organization,status,closing_date
525015/R2512/330354,Cap Peak White for CPOs/ POs,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
DW&CE/6000-Advt-CKL/01/E-6,Certain Facilities,"Military Engineering Services (Airforce),Rawalpindi, Pakistan",,"Jan 12, 2026"
525021/R2601/330397,T-Shirt Green Round Neck Half Sleeves,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
DW &CE/6000-ADVT-SMG/01/E-6,Certain Facilties..,"Military Engineering Services (Airforce),Rawalpindi, Pakistan",,"Jan 12, 2026"
ren-Anti/2025,Renewal of Endpoint Protection Antivirus Renewal of Endpoint Protection Antivir,"Ministry of Foreign Affairs,Islamabad, Pakistan",,"Jan 12, 2026"
LDC/Room/01/2026,"Civil , Construction,etc..","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 12, 2026"
2xP3 & 1xP8&9,Avn Store &Sig Store,"Directorate General Procurement (Army),Rawalpindi, Pakistan",,"Jan 12, 2026"
,O&M and Misc Works,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Jan 12, 2026"
"INVITATION TO BID/Chief Engineer (EHV-I), NGCP","Tender No. CE-ISD-01-2026 the Purchaser”, invites sealed bids through","National Transmission and Despatch Company,Lahore, Pakistan",,"Jan 12, 2026"
INVITATION OF BIDS/,TENDER NOTICE T-2 (2026) OCUREMENT AND INSTALLATION OF 57NOs. CAMERAS,"National Transmission and Despatch Company,Lahore, Pakistan",,"Jan 12, 2026"
EQ-01-2026,Lab Equipment,"National University of Science and Technology,Islamabad, Pakistan",,"Jan 12, 2026"
IC/PD/2026/27/TD-046,Lighting System,"Islamabad Club,Islamabad, Pakistan",,"Jan 12, 2026"
LM-19141-KZR,"Supply, installation and commissioning of Pallet-racking","Pakistan State Oil,Karachi central, Pakistan",,"Jan 12, 2026"
140 (PRCL-RETRO-PNSC)/2026,"H&M, D&IV, WAR, AWAR","Pakistan Reinsurance Company Limited,Karachi central, Pakistan",,"Jan 12, 2026"
Svcs/C&M/Renovation of Scanner Lab 2025,RENOVATION OF SCANNER LAB,"National Radio Tele Communication Corporation,Haripur, Pakistan",,"Jan 12, 2026"
2020,"Furniture,etc..","Garrison Furniture Yard,Hyderabad city, Pakistan",,"Jan 12, 2026"
70,"Laptops,etc.. Laptops,etc.","Hazara Electric Supply Company HAZECO,Haripur, Pakistan",,"Jan 12, 2026"
OP-19394-MS,Supply of Tower Scaffolding,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 12, 2026"
AD-19395- MS,Misc Works,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 12, 2026"
08/IT-EQUIPMENT/JMC/2026,IT EQUIPMENTS,"Ministry of National Health Services, Regulation & Coordination,Islamabad, Pakistan",,"Jan 12, 2026"
07/Legal-Advisor/JMC/2026,LEGAL ADVISORY SERVICES,"National Health Services, Regulations & Coordination Division,Islamabad, Pakistan",,"Jan 12, 2026"
,"IT & Office Equipment,etc.... IT & Office Equipment,etc..","University of Turbat,Kech (turbat), Pakistan",,"Jan 12, 2026"
PRD(L)/WAPDA/183(2025-26),WAPDA TARBELA DAM PROJECT WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 12, 2026"
TARBELA,WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 12, 2026"
14(07-01-2026),"Procurement & Contract, CDA CAPITAL DEVELOPMENT AUTHORITY","Capital Development Authority,Islamabad, Pakistan",,"Jan 12, 2026"
3xP1 & 4xP 8&9,MT Spares & Sig Store,"Directorate General Procurement (Army),Rawalpindi, Pakistan",,"Jan 12, 2026"
2590034/R-2601/310392,PROCUREMENT & INSTALLATION OF TYPE-056 SCIB,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
0003/LP/Hosp/56,Supply of Medicines,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 12, 2026"
2 5 0 1 1 5 8 9,PATS FOR MISC Vehicles,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 12, 2026"
2 5 0 1 1 5 0 8,Different Parts,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 12, 2026"
2 5 0 1 1 2 8 8,E.C.M 40 ESERIES ENGINE,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 12, 2026"
Ref No PMDC/Proc-Camera/HO,Professional/High end Camera for PMDC Head Office Islamabad,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 12, 2026"
2 5 0 1 0 6 4 3,TYRE TUBE FLAP 14 PLY,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 12, 2026"
2 5 0 1 0 1 2 3,TYRE TUBE FLAP 28 PLY,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 12, 2026"
12072,INVITATION TO BID PROCUREMENT / REVAMPING OF CATI LAN INFRAS,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
P-32/2025,Corrigendum,"Pakistan Revenue Automation (Pvt) LTD.,Islamabad, Pakistan",,"Jan 12, 2026"
12071,INVITATION TO BID PROCUREMENT ALONG WITH INSTALLATION OF CCT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
2590009/R2601/360407,Pickup S/Cabin (latest model) alongwith standard accessories,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
12068,TENDER NOTICE PROCUREMENT OF QTY-06 BATTERIES FOR H.T PANELS,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
,Re-Browning Chemical 114-88-Pub-Reb-01-EME,"HQ Frontier Corps (Balochistan),Kech (turbat), Pakistan","Mar 1, 2026","Jan 12, 2026"
TUSDEC/IDAC/CCK/025/2026,"TENDER FOR HIRING OF CONSTRUCTION CONTRACTOR - IDAC Karachi 02 KANAL LAND AT LANDHI INDUSTRIAL ESTATE, SCHEME 03, KARACH","Technology Up-Gradation and Skill Development Company (TUSDEC),Lahore, Pakistan",,"Jan 12, 2026"
,Supply of Plant & Machinery Equipmentst Supply of Plant & Machinery Equipments,"Federal Directorate of Education,Islamabad, Pakistan",,"Jan 5, 2026"
,Expendable/ Paint Items ...,"501 Central Workshop EME Chaklala,Rawalpindi, Pakistan",,"Jan 12, 2026"
AFMSL/Tender-001/2026,Lab Equipment..,"Armed Forces Medical Stores Laboratory (AFMSL),Rawalpindi, Pakistan",,"Jan 12, 2026"
,"Proc Of Equipment,etc..","Pakistan Airforce,Rawalpindi, Pakistan",,"Jan 12, 2026"
01/2026,3rd Party Annual Assessment/ Verification of FESCO’s FESCO’s Five Years Investment Plan FY 2023- 24 To FY 2027-28,"National Electric Power Regulatory Authority (NEPRA),Islamabad Capital Territory (ICT), Pakistan",,"Jan 12, 2026"
PRD(L)/WAPDA/178(2025-26),WAPDA TARBELA HPS TARBELA DAM WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 12, 2026"
1477,Directorate of Procurement (Air),"Ministry of Defence Production (DP-Air),Rawalpindi, Pakistan",,"Jan 12, 2026"
PRD(L)/WAPDA/177(2025-26),WAPDA DRILLING DIVISION WAPDA TOWN LAHORE WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 12, 2026"
18/2025-26,"Shifting , erection , installation of elelctric equipments..","Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Jan 12, 2026"
ADMN/LHR/4.16/26,Janitorial Services,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 12, 2026"
,"Godds/ Services Drinking Water,etc..","Regional Tax Office,Multan, Pakistan",,"Jan 12, 2026"
PRD(L)/WAPDA/176(2025-26),WAPDA TARBELA DAM WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 12, 2026"
MRF/LOG/25-26/OT-07,MRF/LOG/25-26/OT-07 MIRAGE REBUILD FACTORY PAKISTAN AERONAUTICAL COMPLEX KAMRA,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Jan 12, 2026"
ROW,Collection of NOC Fee NHA ROW,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 12, 2026"
ROW,Janitorial Services Washroom,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 12, 2026"
ROW,OM&M Rest Areas Revenue Basis,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 12, 2026"
,Supply of Items Of Annual Training Grant.. Supply of Items Of Annual Training Grant ..,"HQ 111 Brigade,Rawalpindi, Pakistan",,"Jan 9, 2026"
2-11-(1)/2025-26,"Oilve Nursery Plants,etc..","Ministry of National Food Security and Research,Islamabad, Pakistan",,"Jan 9, 2026"
