sr_no,procurement_title,procurement_name,type,publish_date,close_date,department,status,tender_notice_link,bidding_document_link,detail_page_link,detail_organization,detail_tender_type,detail_category,detail_estimated_cost,detail_earnest_money,detail_tender_fee,detail_submission_deadline,detail_opening_date,detail_validity_period,detail_contact_person,detail_contact_email,detail_contact_phone,detail_address,detail_eligibility_criteria,detail_technical_specifications,detail_special_instructions,description,tender_notice_pdf_text,bidding_document_pdf_text,detail_description,detail_raw_content
1,Tender Notice,Procurement of Raw Material at GCT for GC&PD; Shahdara,Goods,17 Jul 2023,01 Aug 2023,General Manager Service Centres Tevta,,https://eproc.punjab.gov.pk/Tenders/50485051/4855/1707202309304384381624196951.pdf,https://eproc.punjab.gov.pk/BiddingDocuments/50485051/4855/1707202309304320045487196951.pdf,,,,,,,,,,,,,,,,,[PDF content extracted when accessible],[PDF content extracted when accessible],,
2,Tender Notice,Framework Contract for Hiring of Services of Outdoor Advertisement Firm FY 2023-24,Services,17 Jul 2023,31 Jul 2023,Primary Secondary Healthcare Department,,https://eproc.punjab.gov.pk/Tenders/50485051/4855/1707202310410667600717196953.pdf,https://eproc.punjab.gov.pk/BiddingDocuments/50485051/4855/1707202310410620525420196953.pdf,,,,,,,,,,,,,,,,,[PDF content extracted when accessible],[PDF content extracted when accessible],,
3,Tender Notice,FOR THE PROCUREMENT OF STATIONERY ITEMS REPAIR OF COPIER & OMR MACHINES PRINTING ITEMS,Goods,17 Jul 2023,02 Aug 2023,University of Health Sciences Lahore,,https://eproc.punjab.gov.pk/Tenders/50485051/4855/1707202310451316540564196955.pdf,https://eproc.punjab.gov.pk/BiddingDocuments/50485051/4855/1707202310451336860734196955.pdf,,,,,,,,,,,,,,,,,[PDF content extracted when accessible],[PDF content extracted when accessible],,
